no,weight,start_node,end_node,start_time,end_time
1,411,7,50,10,17
2,382,48,1,13,17
3,403,30,27,9,17
4,83,8,6,9,18
5,86,51,17,9,15
6,297,35,26,13,18
7,88,51,43,9,16
8,429,36,39,11,16
9,123,12,27,9,18
10,319,18,43,11,18
11,645,37,36,13,17
12,86,20,29,12,17
13,153,4,49,9,16
14,444,51,29,9,13
15,240,14,36,9,14
16,426,9,10,9,17
17,775,31,17,12,18
18,298,19,45,10,16
19,165,48,50,13,18
20,612,30,36,9,14
21,713,28,7,9,17
22,279,21,26,13,18
23,405,19,42,9,18
24,627,51,17,9,17
25,255,44,33,9,18
26,685,19,4,9,14
27,785,34,50,13,18
28,429,36,41,13,17
29,252,24,6,9,18
30,610,1,49,11,18
31,511,32,48,9,18
32,202,41,18,9,13
33,158,20,50,9,15
34,632,52,23,9,15
35,554,38,19,9,13
36,615,16,30,10,17
37,296,7,17,12,16
38,494,18,9,10,16
39,642,33,13,10,14
40,172,46,11,12,16
41,749,18,38,10,18
42,619,44,27,13,18
43,534,23,17,9,17
44,392,12,16,11,18
45,462,14,9,11,18
46,281,33,3,12,17
47,211,30,52,13,17
48,179,24,37,13,18
49,129,16,34,9,18
50,359,33,11,11,15
51,334,32,6,12,16
52,180,19,48,9,13
53,528,14,23,9,15
54,150,11,31,9,17
55,205,42,27,9,13
56,362,41,24,10,17
57,331,48,10,12,18
58,64,12,9,10,15
59,96,5,43,13,17
60,100,32,47,10,18
61,89,12,8,12,18
62,180,30,4,9,14
63,520,47,9,9,18
64,78,3,10,9,15
65,56,37,19,11,18
66,91,32,46,9,16
67,637,18,17,9,13
68,396,26,28,11,17
69,167,31,34,13,18
70,755,28,26,9,18
71,765,7,16,11,16
72,112,2,19,11,15
73,639,31,21,9,13
74,101,7,41,11,18
75,691,16,52,9,18
76,796,21,18,12,17
77,450,39,7,9,18
78,201,16,52,9,17
79,262,4,52,10,17
80,463,18,16,9,13
81,88,2,29,13,17
82,63,9,19,10,18
83,466,25,3,11,18
84,686,51,38,13,17
85,509,36,25,13,17
86,269,40,12,10,17
87,53,35,38,9,16
88,543,29,23,9,16
89,418,40,26,9,18
90,59,49,8,11,18
91,757,28,5,9,16
92,316,23,12,13,17
93,81,12,52,10,18
94,318,22,31,9,14
95,78,28,41,13,17
96,408,41,35,13,18
97,274,33,17,11,17
98,764,23,20,9,17
99,363,11,24,12,18
100,291,2,47,12,18
