no,weight,start_node,end_node,start_time,end_time
1,692,14,7,9,17
2,57,24,21,9,13
3,729,24,3,9,15
4,179,10,17,9,15
5,578,11,16,12,17
6,789,35,29,13,17
7,56,26,18,13,17
8,355,22,23,9,16
9,389,33,23,9,18
10,565,15,16,9,18
11,623,26,22,9,15
12,743,31,34,9,16
13,210,22,23,9,15
14,729,26,2,10,16
15,85,23,17,9,16
16,795,4,1,9,17
17,726,5,18,11,15
18,82,14,12,11,17
19,561,11,15,13,17
20,696,5,1,9,15
21,97,23,22,10,15
22,447,24,23,13,17
23,91,7,3,13,18
24,788,15,17,11,18
25,754,5,4,9,15
26,115,30,35,9,17
27,130,33,32,12,18
28,599,34,33,10,14
29,314,30,29,9,18
30,306,3,5,10,15
31,639,25,19,13,18
32,798,4,7,13,18
33,609,23,21,9,16
34,586,26,22,9,15
35,81,16,10,10,14
36,61,4,5,13,17
37,81,28,31,13,18
38,100,36,14,13,17
39,316,7,5,12,16
40,597,13,22,9,16
41,71,23,36,9,14
42,179,7,16,12,18
43,280,1,7,11,18
44,273,21,20,13,17
45,388,1,3,11,18
46,419,35,32,10,15
47,55,1,6,9,13
48,763,25,26,9,18
49,328,32,35,11,16
50,72,23,22,9,18
51,706,5,6,9,13
52,620,29,28,10,17
53,130,28,30,9,17
54,543,4,1,9,14
55,677,5,6,10,18
56,240,3,7,9,18
57,729,15,11,11,15
58,674,3,8,12,16
59,448,11,3,9,18
60,79,26,19,9,13
61,79,4,5,12,18
62,188,35,32,9,13
63,714,1,12,9,16
64,726,31,30,9,13
65,673,29,28,11,16
66,206,14,10,10,17
67,571,19,22,9,13
68,120,32,28,13,17
69,782,13,10,9,14
70,431,33,35,9,13
71,575,5,7,11,16
72,698,15,11,12,16
73,332,4,8,12,18
74,795,8,21,9,14
75,51,20,23,12,17
76,316,9,36,11,16
77,702,12,10,9,14
78,195,22,18,9,18
79,627,2,3,11,18
80,237,1,5,12,17
81,531,7,5,13,17
82,422,26,20,12,17
83,458,3,12,11,17
84,648,26,24,12,18
85,788,20,19,11,16
86,408,10,12,9,18
87,434,30,28,13,17
88,383,7,5,9,17
89,607,26,22,12,18
90,570,32,28,11,16
91,414,17,12,9,17
92,273,5,8,11,15
93,655,1,6,9,16
94,475,15,17,13,17
95,137,11,12,10,17
96,648,13,15,11,15
97,689,27,14,10,16
98,170,8,4,13,18
99,675,19,26,9,13
100,513,31,14,12,17
101,507,19,8,12,17
102,429,15,10,12,16
103,286,20,25,13,18
104,71,19,12,11,16
