no,weight,start_node,end_node,start_time,end_time
1,573,4,5,9,16
2,659,10,13,9,13
3,221,4,2,9,16
4,54,13,11,12,18
5,446,1,5,13,17
6,514,11,16,9,18
7,577,3,7,9,13
8,111,14,2,12,16
9,145,1,7,9,18
10,535,15,16,9,13
11,447,18,7,12,17
12,619,11,3,12,17
13,526,11,8,11,15
14,436,3,1,11,16
15,623,7,4,9,16
16,69,7,3,13,17
17,131,17,15,9,17
18,320,7,1,12,18
19,269,4,8,13,17
20,721,2,14,10,18
21,529,11,10,9,18
22,151,4,7,13,17
23,745,6,2,11,18
24,666,17,4,9,15
25,200,7,17,12,16
26,531,4,13,13,18
27,466,3,14,9,16
28,735,2,6,9,15
29,151,9,16,9,14
30,195,6,1,9,16
31,100,18,8,11,17
32,775,8,1,9,14
33,649,15,16,10,16
34,584,11,17,9,13
35,311,17,16,11,15
36,574,3,5,13,18
37,781,15,13,10,16
38,148,5,3,10,16
39,487,6,1,9,17
40,157,18,9,9,13
41,187,3,5,12,18
42,80,17,16,12,18
43,452,11,15,9,13
44,222,5,13,11,15
45,61,11,10,9,18
46,215,4,1,9,14
47,66,16,11,11,15
48,150,6,2,9,14
49,75,11,4,13,17
50,253,7,11,9,15
51,496,17,12,12,17
52,394,15,8,13,17
53,670,11,8,13,18
54,631,12,10,9,18
55,478,14,10,13,17
56,713,6,2,9,18
57,359,15,9,10,16
58,238,11,2,13,17
59,274,14,16,9,16
60,399,15,8,9,14
61,790,14,12,9,17
62,672,11,1,9,14
63,146,17,14,9,13
64,511,14,12,9,13
65,583,13,10,12,17
66,586,5,2,11,15
67,77,1,6,9,17
68,699,11,4,12,17
69,209,8,6,9,13
70,270,6,5,9,17
71,67,7,3,11,17
72,748,2,6,10,14
73,432,15,12,9,13
74,493,1,8,11,15
75,650,14,7,13,17
76,639,8,3,9,16
77,457,17,4,10,16
78,303,7,2,9,17
79,352,7,15,13,18
80,240,14,10,13,18
81,519,6,13,11,18
82,462,7,3,10,16
83,683,5,1,12,17
84,411,16,12,10,17
85,604,11,13,13,17
86,100,15,3,12,18
87,381,7,11,11,18
88,505,14,8,13,17
89,754,6,3,12,17
90,675,14,16,12,17
91,705,3,4,9,18
92,90,12,11,11,17
93,449,18,9,9,13
94,466,16,10,13,18
95,199,17,11,9,18
96,78,1,3,9,15
97,755,2,1,10,18
98,71,1,7,10,16
99,95,3,8,12,17
100,86,2,10,9,18
