no,x,y,edge
1,0,0,2 4
2,200,0,1 3 5
3,400,0,2 6
4,0,150,1 5 7
5,200,150,2 4 6 8
6,400,150,3 5 9 13
7,0,300,4 8
8,200,300,5 7 9 20
9,400,300,6 8
10,1000,0,11 13
11,1200,0,10 12 14
12,1400,0,11 15
13,1000,150,6 10 14 16
14,1200,150,11 13 15 17
15,1400,150,12 14 18
16,1000,300,13 17
17,1200,300,14 16 18 29
18,1400,300,15 17
19,0,500,20 22
20,200,500,19 21 23
21,400,500,20 24
22,0,650,19 23 25
23,200,650,20 22 24 26
24,400,650,21 23 27 31
25,0,800,22 26
26,200,800,23 25 27
27,400,800,24 26
28,1000,500,29 31
29,1200,500,17 28 30 32
30,1400,500,29 33
31,1000,650,24 28 32 34
32,1200,650,29 31 33 35
33,1400,650,30 32 36
34,1000,800,31 35
35,1200,800,32 34 36
36,1400,800,33 35
