no,weight,start_node,end_node,start_time,end_time
1,205,34,2,11,18
2,366,1,35,13,17
3,748,4,34,11,17
4,287,6,13,9,15
5,312,4,37,13,17
6,556,34,22,9,16
7,542,3,24,9,15
8,84,11,5,11,16
9,589,1,31,9,16
10,587,22,30,9,14
11,58,35,19,9,16
12,637,22,30,11,15
13,701,30,18,11,17
14,361,8,29,12,18
15,774,11,29,10,15
16,689,10,23,9,16
17,238,30,38,9,15
18,90,19,8,9,14
19,412,7,4,13,18
20,237,33,2,9,15
21,71,36,26,9,15
22,62,5,34,9,13
23,557,1,19,11,16
24,343,13,8,13,18
25,518,27,16,9,16
26,721,19,33,13,17
27,490,27,20,9,17
28,658,25,16,9,18
29,610,18,29,10,16
30,316,17,23,9,14
31,726,8,12,12,17
32,518,11,36,12,16
33,540,18,14,9,14
34,225,7,2,9,14
35,306,7,19,10,15
36,799,16,1,13,17
37,533,3,35,9,16
38,59,15,38,11,17
39,422,36,33,11,15
40,766,6,26,9,14
41,568,28,37,9,15
42,139,35,29,9,17
43,435,15,3,12,16
44,121,35,26,12,17
45,442,20,28,9,18
46,382,37,10,12,17
47,216,21,17,12,17
48,656,4,15,10,16
49,458,30,1,9,14
50,424,20,37,9,15
51,501,3,33,11,18
52,765,28,22,10,17
53,563,17,5,12,17
54,244,14,32,13,18
55,451,13,8,12,16
56,182,23,14,9,13
57,251,16,35,9,13
58,148,13,25,9,18
59,162,35,11,9,17
60,638,9,32,12,17
61,756,28,12,13,17
62,353,3,11,13,18
63,454,21,25,12,18
64,634,5,27,9,15
65,371,15,19,9,15
66,271,33,14,9,17
67,647,30,35,10,18
68,214,2,29,9,13
69,466,29,20,10,16
70,277,14,30,11,15
71,85,18,8,10,15
72,448,5,35,11,16
73,621,3,36,13,17
74,656,30,23,9,16
75,152,1,26,10,17
76,762,17,31,13,18
77,170,2,18,9,16
78,283,32,9,9,15
79,662,21,29,11,16
80,535,6,35,12,16
81,208,9,18,13,18
82,694,6,35,9,17
83,349,14,28,13,17
84,580,8,4,9,13
85,190,27,10,11,16
86,641,38,19,9,18
87,434,30,34,12,16
88,231,36,28,9,16
89,185,1,4,13,18
90,469,20,27,9,14
91,158,19,36,10,15
92,584,19,14,13,18
93,147,3,27,9,13
94,758,20,23,9,14
95,215,21,38,11,18
96,393,12,14,11,18
97,127,20,12,9,18
98,150,10,15,9,17
99,759,17,25,12,17
100,647,12,27,9,16
