no,weight,start_node,end_node,start_time,end_time
1,279,5,4,9,14
2,608,28,33,11,15
3,189,25,23,13,18
4,341,35,33,10,15
5,353,25,30,10,16
6,274,16,6,13,17
7,508,21,24,9,17
8,598,38,35,13,17
9,643,13,31,13,17
10,347,16,3,9,15
11,400,38,22,9,13
12,498,3,29,10,16
13,373,9,35,9,17
14,201,13,30,13,17
15,395,9,3,13,18
16,619,26,36,11,17
17,322,37,17,11,17
18,307,16,8,13,18
19,415,14,37,9,15
20,769,8,21,9,13
21,335,11,37,13,18
22,403,3,6,12,16
23,624,15,11,13,18
24,617,26,33,9,14
25,617,21,15,10,14
26,438,4,7,9,13
27,364,21,35,13,17
28,178,35,7,12,17
29,550,35,26,9,13
30,614,38,4,11,15
31,481,16,27,12,18
32,586,24,3,9,15
33,443,17,5,11,17
34,558,22,7,12,18
35,712,14,10,9,17
36,110,11,16,11,15
37,758,19,15,10,15
38,386,3,7,11,15
39,592,33,6,11,17
40,435,5,2,9,15
41,549,30,1,13,18
42,104,23,37,9,17
43,774,4,18,12,17
44,675,9,21,12,18
45,640,34,24,11,16
46,695,26,14,9,14
47,317,10,25,9,16
48,519,10,29,9,15
49,535,12,10,9,14
50,572,28,38,11,16
51,466,23,29,12,17
52,718,32,28,12,16
53,342,37,9,13,18
54,585,33,7,9,15
55,307,1,14,13,17
56,470,31,20,9,16
57,672,30,22,9,15
58,427,20,27,13,17
59,336,33,36,10,17
60,475,30,1,9,17
61,669,12,24,9,17
62,406,10,36,9,17
63,477,38,20,13,17
64,743,12,8,9,17
65,482,6,12,9,15
66,294,14,3,9,15
67,648,6,1,12,17
68,301,13,8,9,13
69,539,3,23,10,15
70,115,5,13,9,18
71,312,14,3,9,17
72,383,26,38,9,18
73,539,34,33,10,18
74,593,29,6,9,18
75,448,8,11,10,18
76,534,24,28,9,13
77,226,10,1,12,17
78,554,29,1,9,13
79,556,11,20,9,17
80,405,28,20,10,18
81,222,7,34,9,13
82,389,27,28,9,18
83,479,23,2,9,16
84,773,12,30,9,15
85,256,10,11,9,18
86,597,14,21,11,16
87,308,19,14,9,17
88,516,36,21,9,16
89,544,35,14,9,13
90,585,7,15,13,17
91,421,32,12,13,18
92,234,9,2,10,14
93,447,37,6,9,13
94,617,34,5,11,17
95,476,15,14,13,17
96,429,35,16,9,14
97,393,20,34,9,16
98,636,37,35,9,17
99,351,7,11,12,18
100,369,34,25,11,18
