no,weight,start_node,end_node,start_time,end_time
1,376,36,28,9,14
2,322,35,25,9,15
3,346,38,18,12,17
4,220,38,20,13,18
5,323,21,22,12,16
6,155,2,17,9,16
7,218,13,38,10,14
8,460,38,18,9,17
9,629,29,31,13,18
10,3,30,32,13,18
11,94,10,25,13,18
12,208,17,28,10,15
13,369,6,10,11,16
14,443,28,20,9,18
15,431,28,17,12,17
16,202,34,8,9,15
17,119,21,3,9,17
18,304,10,20,12,16
19,143,23,3,9,18
20,201,10,23,9,14
21,138,29,10,13,18
22,682,35,18,12,16
23,284,29,26,9,18
24,534,28,8,11,15
25,565,9,2,9,18
26,585,31,25,10,16
27,583,7,16,9,17
28,543,38,17,13,18
29,129,27,24,9,17
30,403,10,8,9,17
31,247,18,20,13,18
32,338,6,21,9,15
33,676,15,29,11,16
34,200,3,24,10,18
35,123,14,33,13,17
36,318,36,25,9,15
37,120,22,7,10,14
38,253,6,30,11,17
39,224,26,37,9,16
40,388,30,8,9,17
41,64,21,31,9,13
42,475,17,33,9,13
43,425,7,6,11,15
44,168,14,12,11,16
45,307,16,14,9,14
46,51,15,12,12,17
47,200,23,36,12,18
48,168,15,17,10,15
49,179,5,3,9,16
50,145,12,11,10,15
51,284,1,13,9,15
52,158,38,11,9,13
53,435,7,12,12,17
54,150,14,4,11,17
55,253,6,19,9,13
56,454,4,16,9,14
57,186,24,1,9,14
58,230,6,13,9,15
59,700,33,15,10,14
60,390,31,17,9,18
61,507,32,17,9,16
62,430,21,18,12,17
63,176,32,25,10,16
64,330,36,38,11,18
65,253,37,7,9,18
66,548,15,5,13,18
67,215,37,1,9,18
68,128,35,26,11,17
69,553,24,6,9,16
70,397,37,14,12,16
71,375,24,23,13,17
72,182,18,8,9,17
73,469,24,13,11,17
74,205,38,6,9,15
75,363,15,12,9,16
76,342,17,19,11,17
77,269,10,16,9,17
78,229,13,4,10,17
79,425,10,14,13,17
80,235,34,10,11,15
81,63,17,12,12,16
82,481,24,12,11,15
83,549,30,32,11,16
84,381,35,24,13,17
85,475,34,12,12,18
86,304,2,12,11,17
87,105,2,12,9,17
88,379,23,21,9,14
89,508,25,8,10,17
90,232,36,23,11,15
91,102,21,32,9,16
92,172,1,28,9,16
93,92,20,27,9,13
94,414,20,28,13,18
95,317,22,28,9,16
96,113,3,17,9,17
97,131,20,30,12,18
98,541,33,1,11,17
99,111,9,25,10,17
100,214,16,17,11,18
